"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2022 MK1)","2099-2111","8","6.0e-6","6.44","23.9","0.055","-5.10","-5.47","0","bK22M01K"
"(2021 DR)","2046-2122","240","3.3e-4","3.44","27.8","0.009","-5.10","-5.60","0","bK21D00R"
"(2021 TW2)","2079-2121","43","4.8e-5","3.81","25.7","0.025","-5.10","-5.25","0","bK21T02W"
"(2009 BR5)","2066-2078","4","2.3e-7","17.97","22.1","0.130","-5.11","-5.15","0","bK09B05R"
"(1995 CS)","2042-2063","14","2.6e-6","25.22","25.5","0.028","-5.11","-5.28","0","bJ95C00S"
"(2010 VW194)","2042-2121","56","6.5e-5","7.31","26.5","0.017","-5.11","-5.70","0","bK10VJ4W"
"(2023 OE5)","2076-2121","33","9.0e-5","3.49","26.3","0.018","-5.11","-5.50","0","bK23O05E"
"(2007 CC27)","2056-2102","62","7.6e-5","10.88","26.9","0.014","-5.12","-5.64","0","bK07C27C"
"(2016 NL39)","2055-2122","323","2.8e-4","3.94","27.6","0.010","-5.12","-5.91","0","bK16N39L"
"(2022 UL11)","2096-2123","52","1.6e-3","8.92","29.1","0.005","-5.12","-5.43","0","bK22U11L"
"(2023 WG2)","2077-2120","15","3.3e-5","22.05","26.7","0.015","-5.13","-5.38","0","bK23W02G"
"(2009 OW6)","2077-2121","15","2.1e-5","6.65","25.3","0.029","-5.14","-5.36","0","bK09O06W"
"(2010 JL88)","2037-2122","193","5.9e-5","14.87","26.8","0.015","-5.14","-5.85","0","bK10J88L"
"(2004 PU42)","2071-2122","45","7.6e-5","10.12","26.8","0.015","-5.14","-5.85","0","bK04P42U"
"(2019 FE)","2095-2118","3","5.6e-6","9.93","24.2","0.050","-5.14","-5.17","0","bK19F00E"
"(2017 NT5)","2094-2115","8","6.7e-7","20.15","22.9","0.090","-5.14","-5.55","0","bK17N05T"
"(2016 SA2)","2110-2122","33","7.0e-4","5.20","28.1","0.008","-5.14","-5.47","0","bK16S02A"
"(2007 DS7)","2048-2118","26","2.1e-5","12.39","25.9","0.023","-5.15","-5.37","0","bK07D07S"
"(2021 VP8)","2073-2117","16","6.7e-5","6.58","26.2","0.019","-5.15","-5.23","0","bK21V08P"
"(2001 BA16)","2040-2051","3","9.5e-6","4.90","25.8","0.023","-5.17","-5.20","0","bK01B16A"
